SpGnss : begin inSpGnss : begin outSpGnss : start in  mode = COLD_STARTSpGnss : start outGnss setup OK
2022/02/28 04:52:08.000643, numSat: 2, No-Fix, No Position
2022/02/28 04:52:09.000667, numSat: 2, No-Fix, No Position
2022/02/28 04:52:10.000662, numSat: 2, No-Fix, No Position
2022/02/28 04:52:11.000654, numSat: 2, No-Fix, No Position
2022/02/28 04:52:12.000649, numSat: 2, No-Fix, No Position
2022/02/28 04:52:13.000641, numSat: 2, No-Fix, No Position
2022/02/28 04:52:14.000667, numSat: 2, No-Fix, No Position
2022/02/28 04:52:15.000659, numSat: 2, No-Fix, No Position
2022/02/28 04:52:16.000652, numSat: 2, No-Fix, No Position
2022/02/28 04:52:17.000650, numSat: 2, No-Fix, No Position
2022/02/28 04:52:18.000674, numSat: 2, No-Fix, No Position
2022/02/28 04:52:19.000667, numSat: 2, No-Fix, No Position
2022/02/28 04:52:20.000657, numSat: 2, No-Fix, No Position
2022/02/28 04:52:21.000652, numSat: 2, No-Fix, No Position
2022/02/28 04:52:22.000644, numSat: 2, No-Fix, No Position
2022/02/28 04:52:23.000668, numSat: 4, No-Fix, No Position
2022/02/28 04:52:24.000662, numSat: 4, No-Fix, No Position
2022/02/28 04:52:25.000655, numSat: 2, No-Fix, No Position
2022/02/28 04:52:26.000649, numSat: 2, No-Fix, No Position
2022/02/28 04:52:27.000642, numSat: 2, No-Fix, No Position
2022/02/28 04:52:28.000666, numSat: 2, No-Fix, No Position
2022/02/28 04:52:29.000659, numSat: 2, No-Fix, No Position
2022/02/28 04:52:30.000653, numSat: 3, No-Fix, No Position
2022/02/28 04:52:31.000646, numSat: 3, No-Fix, No Position
2022/02/28 04:52:32.000670, numSat: 3, No-Fix, No Position
2022/02/28 04:52:33.000664, numSat: 3, No-Fix, No Position
2022/02/28 04:52:34.000653, numSat: 2, No-Fix, No Position
2022/02/28 04:52:35.000653, numSat: 2, No-Fix, No Position
2022/02/28 04:52:36.000644, numSat: 2, No-Fix, No Position
2022/02/28 04:52:37.000668, numSat: 2, No-Fix, No Position
2022/02/28 04:52:38.000662, numSat: 2, No-Fix, No Position
2022/02/28 04:52:39.000658, numSat: 2, No-Fix, No Position
2022/02/28 04:52:40.000648, numSat: 4, No-Fix, No Position
2022/02/28 04:52:41.000647, numSat: 5, No-Fix, No Position
2022/02/28 04:52:42.000671, numSat: 3, No-Fix, No Position
2022/02/28 04:52:43.000663, numSat: 3, No-Fix, No Position
2022/02/28 04:52:44.000654, numSat: 3, No-Fix, No Position
2022/02/28 04:52:45.000647, numSat: 3, No-Fix, No Position
2022/02/28 04:52:46.000671, numSat: 3, No-Fix, No Position
2022/02/28 04:52:47.000664, numSat: 4, No-Fix, No Position
2022/02/28 04:52:48.000659, numSat: 4, No-Fix, No Position
2022/02/28 04:52:49.000651, numSat: 4, No-Fix, No Position
2022/02/28 04:52:50.000645, numSat: 4, No-Fix, No Position
2022/02/28 04:52:51.000669, numSat: 4, No-Fix, No Position
2022/02/28 04:52:52.000663, numSat: 4, No-Fix, No Position
2022/02/28 04:52:53.000656, numSat: 4, No-Fix, No Position
2022/02/28 04:52:54.000651, numSat: 3, No-Fix, No Position
2022/02/28 04:52:55.000643, numSat: 3, No-Fix, No Position
2022/02/28 04:52:56.000667, numSat: 3, No-Fix, No Position
2022/02/28 04:52:57.000660, numSat: 3, No-Fix, No Position
2022/02/28 04:52:58.000654, numSat: 3, No-Fix, No Position
2022/02/28 04:52:59.000647, numSat: 3, No-Fix, No Position
numSatellites: 3[ 0] Type:GPS, Id: 8, Elv: 0, Azm:  0, CN0:21.109999
[ 1] Type:GPS, Id:16, Elv: 0, Azm:  0, CN0:12.250000
[ 2] Type:GPS, Id:27, Elv: 0, Azm:  0, CN0:23.609999
2022/02/28 04:53:00.000641, numSat: 3, No-Fix, No Position
2022/02/28 04:53:01.000665, numSat: 3, No-Fix, No Position
2022/02/28 04:53:02.000660, numSat: 3, No-Fix, No Position
2022/02/28 04:53:03.000652, numSat: 3, No-Fix, No Position
2022/02/28 04:53:04.000645, numSat: 3, No-Fix, No Position
2022/02/28 04:53:05.000674, numSat: 3, No-Fix, No Position
2022/02/28 04:53:06.000669, numSat: 3, No-Fix, No Position
2022/02/28 04:53:07.000657, numSat: 3, No-Fix, No Position
2022/02/28 04:53:08.000650, numSat: 3, No-Fix, No Position
2022/02/28 04:53:09.000643, numSat: 3, No-Fix, No Position
2022/02/28 04:53:10.000669, numSat: 3, No-Fix, No Position
2022/02/28 04:53:11.000661, numSat: 3, No-Fix, No Position
2022/02/28 04:53:12.000656, numSat: 3, No-Fix, No Position
2022/02/28 04:53:13.000648, numSat: 3, No-Fix, No Position
2022/02/28 04:53:14.000672, numSat: 3, No-Fix, No Position
2022/02/28 04:53:15.000666, numSat: 3, No-Fix, No Position
2022/02/28 04:53:16.000661, numSat: 3, No-Fix, No Position
2022/02/28 04:53:17.000653, numSat: 3, No-Fix, No Position
2022/02/28 04:53:18.000646, numSat: 3, No-Fix, No Position
2022/02/28 04:53:19.000670, numSat: 4, No-Fix, No Position
2022/02/28 04:53:20.000664, numSat: 4, No-Fix, No Position
2022/02/28 04:53:21.000657, numSat: 3, No-Fix, No Position
2022/02/28 04:53:22.000651, numSat: 3, No-Fix, No Position
2022/02/28 04:53:23.000644, numSat: 3, No-Fix, No Position
2022/02/28 04:53:24.000668, numSat: 3, No-Fix, No Position
2022/02/28 04:53:25.000662, numSat: 3, No-Fix, No Position
2022/02/28 04:53:26.000655, numSat: 3, No-Fix, No Position
2022/02/28 04:53:27.000649, numSat: 3, No-Fix, No Position
